"","geography_code","monthaverageCC_counts"
"506","S01007011",16.25
"507","S01007012",16.25
"508","S01007013",5
"509","S01007014",6.25
"510","S01007015",1.25
"511","S01007016",6.25
"512","S01007017",11.25
"513","S01007018",10
"514","S01007019",8.75
"515","S01007020",10
"516","S01007021",5
"517","S01007022",6.25
"518","S01007023",1.25
"519","S01007024",7.5
"520","S01007025",8.75
"521","S01007026",8.75
"522","S01007027",7.5
"523","S01007028",3.75
"524","S01007029",0
"525","S01007030",10
"526","S01007031",8.75
"527","S01007032",21.25
"528","S01007033",8.75
"529","S01007034",7.5
"530","S01007035",20
"531","S01007036",8.75
"532","S01007037",15
"533","S01007038",15
"534","S01007039",8.75
"535","S01007040",7.5
"536","S01007041",18.75
"537","S01007042",10
"538","S01007043",5
"539","S01007044",5
"540","S01007045",6.25
"541","S01007046",3.75
"542","S01007047",3.75
"543","S01007048",5
"544","S01007049",11.25
"545","S01007050",7.5
"546","S01007051",5
"547","S01007052",5
"548","S01007053",6.25
"549","S01007054",10
"550","S01007055",1.25
"551","S01007056",1.25
"552","S01007057",5
"553","S01007058",5
"554","S01007059",6.25
"555","S01007060",10
"556","S01007061",5
"557","S01007062",6.25
"558","S01007063",6.25
"559","S01007064",5
"560","S01007065",8.75
"561","S01007066",5
"562","S01007067",3.75
"563","S01007068",16.25
"564","S01007069",10
"565","S01007070",12.5
"566","S01007071",11.25
"567","S01007072",6.25
"568","S01007073",5
"569","S01007074",11.25
"570","S01007075",8.75
"571","S01007076",10
"572","S01007077",2.5
"573","S01007078",15
"574","S01007079",21.25
"575","S01007080",10
"576","S01007081",16.25
"577","S01007082",10
"578","S01007083",30
"579","S01007084",10
"580","S01007085",20
"581","S01007086",65
"582","S01007087",33.75
"583","S01007088",15
"584","S01007089",3.75
"585","S01007090",5
"586","S01007091",8.75
"587","S01007092",12.5
"588","S01007093",8.75
"589","S01007094",8.75
"590","S01007095",5
"591","S01007096",2.5
"592","S01007097",7.5
"593","S01007098",3.75
"594","S01007099",5
"595","S01007100",5
"596","S01007101",11.25
"597","S01007102",3.75
"598","S01007103",6.25
"599","S01007104",0
"600","S01007105",2.5
"601","S01007106",8.75
"602","S01007107",2.5
"603","S01007108",2.5
"604","S01007109",20
"605","S01007110",11.25
"606","S01007111",3.75
"607","S01007112",1.25
"608","S01007113",2.5
"609","S01007114",2.5
"610","S01007115",3.75
"611","S01007116",0
"612","S01007117",0
"613","S01007118",6.25
"614","S01007119",10
"615","S01007120",15
"616","S01007121",12.5
"617","S01007122",6.25
"618","S01007123",5
"619","S01007124",5
"620","S01007125",8.75
"621","S01007126",26.25
"622","S01007127",30
"623","S01007128",11.25
"624","S01007129",5
"625","S01007130",3.75
"626","S01007131",5
"627","S01007132",3.75
"628","S01007133",2.5
"629","S01007134",5
"630","S01007135",0
"631","S01007136",2.5
"632","S01007137",5
"633","S01007138",6.25
"634","S01007139",3.75
"635","S01007140",1.25
"636","S01007141",2.5
"637","S01007142",1.25
"638","S01007143",1.25
"639","S01007144",6.25
"640","S01007145",5
"641","S01007146",3.75
"642","S01007147",1.25
"643","S01007148",1.25
"644","S01007149",0
"645","S01007150",2.5
"646","S01007151",3.75
"647","S01007152",0
"648","S01007153",5
"649","S01007154",5
"650","S01007155",0
"651","S01007156",2.5
"652","S01007157",5
"653","S01007158",5
"654","S01007159",16.25
"655","S01007160",8.75
"656","S01007161",8.75
"657","S01007162",0
"658","S01007163",7.5
"659","S01007164",5
"660","S01007165",3.75
"661","S01007166",3.75
"662","S01007167",5
"663","S01007168",2.5
"664","S01007169",5
"665","S01007170",0
"666","S01007171",5
"667","S01007172",5
"668","S01007173",6.25
"669","S01007174",8.75
"670","S01007175",2.5
"671","S01007176",5
"672","S01007177",13.75
"673","S01007178",36.25
"674","S01007179",6.25
"675","S01007180",7.5
"676","S01007181",5
"677","S01007182",12.5
"678","S01007183",18.75
"679","S01007184",40
"680","S01007185",28.75
"681","S01007186",35
"682","S01007187",23.75
"683","S01007188",11.25
"684","S01007189",26.25
"685","S01007190",5
"686","S01007191",5
"687","S01007192",18.75
"688","S01007193",11.25
"689","S01007194",27.5
"690","S01007195",17.5
"691","S01007196",16.25
"692","S01007197",15
"693","S01007198",12.5
"694","S01007199",37.5
"695","S01007200",22.5
"696","S01007201",15
"697","S01007202",18.75
"698","S01007203",5
"699","S01007204",11.25
"700","S01007205",3.75
"701","S01007206",5
"702","S01007207",16.25
"703","S01007208",32.5
"704","S01007209",17.5
"705","S01007210",15
"706","S01007211",38.75
"707","S01007212",2.5
"708","S01007213",10
"709","S01007214",15
"710","S01007215",22.5
"711","S01007216",13.75
"712","S01007217",31.25
"713","S01007218",3.75
"714","S01007219",20
"715","S01007220",7.5
"716","S01007221",3.75
"717","S01007222",13.75
"718","S01007223",1.25
"719","S01007224",6.25
"720","S01007225",5
"721","S01007226",5
"722","S01007227",11.25
"723","S01007228",3.75
"724","S01007229",5
"725","S01007230",31.25
"726","S01007231",28.75
"727","S01007232",35
"728","S01007233",12.5
"729","S01007234",12.5
"730","S01007235",18.75
"731","S01007236",15
"732","S01007237",6.25
"733","S01007238",11.25
"734","S01007239",3.75
"735","S01007240",0
"736","S01007241",5
"737","S01007242",7.5
"738","S01007243",5
"739","S01007244",2.5
"740","S01007245",5
"741","S01007246",7.5
"742","S01007247",2.5
"743","S01007248",1.25
"744","S01007249",0
"745","S01007250",8.75
"746","S01007251",8.75
"747","S01007252",7.5
"748","S01007253",12.5
"749","S01007254",7.5
"750","S01007255",12.5
"751","S01007256",13.75
"752","S01007257",12.5
"753","S01007258",10
"754","S01007259",13.75
"755","S01007260",28.75
"756","S01007261",7.5
"757","S01007262",6.25
"758","S01007263",7.5
"759","S01007264",5
"760","S01007265",12.5
"761","S01007266",11.25
"762","S01007267",5
"763","S01007268",2.5
"764","S01007269",6.25
"765","S01007270",1.25
"766","S01007271",15
"767","S01007272",20
"768","S01007273",6.25
"769","S01007274",16.25
"770","S01007275",5
"771","S01007276",13.75
"772","S01007277",3.75
"773","S01007278",1.25
"774","S01007279",0
"775","S01007280",1.25
"776","S01007281",5
"777","S01007282",5
"778","S01007283",6.25
"779","S01007284",6.25
"780","S01007285",0
"781","S01007286",6.25
"782","S01007287",1.25
"783","S01007288",0
"784","S01007289",1.25
"785","S01007290",5
"786","S01007291",8.75
"787","S01007292",3.75
"788","S01007293",15
"789","S01007294",5
"790","S01007295",12.5
"791","S01007296",10
"792","S01007297",2.5
"793","S01007298",1.25
"794","S01007299",10
"795","S01007300",7.5
"796","S01007301",5
"797","S01007302",5
"798","S01007303",0
"799","S01007304",5
"800","S01007305",5
"801","S01007306",3.75
"802","S01007307",5
"803","S01007308",2.5
"804","S01007309",6.25
"805","S01007310",2.5
"806","S01007311",10
"807","S01007312",6.25
"808","S01007313",6.25
"809","S01007314",3.75
"810","S01007315",8.75
"811","S01007316",21.25
"812","S01007317",15
"813","S01007318",5
"814","S01007319",5
"815","S01007320",0
"816","S01007321",2.5
"817","S01007322",10
"818","S01007323",0
"819","S01007324",0
"820","S01007325",2.5
"821","S01007326",0
"822","S01007327",2.5
"823","S01007328",3.75
"824","S01007329",5
"825","S01007330",6.25
"826","S01007331",7.5
"827","S01007332",5
"828","S01007333",3.75
"829","S01007334",16.25
"830","S01007335",16.25
"831","S01007336",15
"832","S01007337",8.75
"833","S01007338",5
"834","S01007339",5
"835","S01007340",8.75
"836","S01007341",5
"837","S01007342",1.25
"838","S01007343",5
"839","S01007344",6.25
"840","S01007345",20
"841","S01007346",23.75
"842","S01007347",21.25
"843","S01007348",15
"844","S01007349",10
"845","S01007350",15
"846","S01007351",7.5
"847","S01007352",3.75
"848","S01007353",5
"849","S01007354",5
"850","S01007355",6.25
"851","S01007356",5
"852","S01007357",2.5
"853","S01007358",5
"854","S01007359",15
"855","S01007360",5
"856","S01007361",11.25
"857","S01007362",11.25
"858","S01007363",6.25
"859","S01007364",26.25
"860","S01007365",7.5
"861","S01007366",18.75
"862","S01007367",11.25
"863","S01007368",12.5
"864","S01007369",10
"865","S01007370",18.75
"866","S01007371",12.5
"867","S01007372",3.75
"868","S01007373",2.5
"869","S01007374",2.5
"870","S01007375",0
"871","S01007376",13.75
"872","S01007377",5
"873","S01007378",2.5
"874","S01007379",5
"875","S01007380",5
"876","S01007381",0
"877","S01007382",1.25
"878","S01007383",7.5
"879","S01007384",5
"880","S01007385",6.25
"881","S01007386",0
"882","S01007387",0
"883","S01007388",3.75
"884","S01007389",8.75
"885","S01007390",6.25
"886","S01007391",0
"887","S01007392",0
"888","S01007393",1.25
"889","S01007394",5
"890","S01007395",18.75
"891","S01007396",15
"892","S01007397",5
"893","S01007398",17.5
"894","S01007399",32.5
"895","S01007400",8.75
"896","S01007401",2.5
"897","S01007402",3.75
"898","S01007403",5
"899","S01007404",2.5
"900","S01007405",2.5
"901","S01007406",0
"902","S01007407",5
"903","S01007408",7.5
"904","S01007409",5
"905","S01007410",21.25
"906","S01007411",33.75
"907","S01007412",5
"908","S01007413",3.75
"909","S01007414",3.75
"910","S01007415",17.5
"911","S01007416",26.25
"912","S01007417",5
"913","S01007418",11.25
"914","S01007419",18.75
"915","S01007420",5
"916","S01007421",5
"917","S01007422",7.5
"918","S01007423",3.75
"919","S01007424",0
"920","S01007425",20
"921","S01007426",16.25
"922","S01007427",15
"923","S01007428",13.75
"924","S01007429",13.75
"925","S01007430",3.75
"926","S01007431",0
"927","S01007432",13.75
"928","S01007433",12.5
"929","S01007434",20
"930","S01007435",13.75
"931","S01007436",15
"932","S01007437",17.5
"933","S01007438",21.25
"934","S01007439",12.5
"935","S01007440",15
"936","S01007441",2.5
"937","S01007442",1.25
"938","S01007443",3.75
"939","S01007444",6.25
"940","S01007445",5
"941","S01007446",0
"942","S01007447",0
"943","S01007448",2.5
"944","S01007449",28.75
"945","S01007450",22.5
"946","S01007451",10
"947","S01007452",10
"948","S01007453",1.25
"949","S01007454",8.75
"950","S01007455",31.25
"951","S01007456",25
"952","S01007457",28.75
"953","S01007458",3.75
"954","S01007459",3.75
"955","S01007460",22.5
"956","S01007461",33.75
"957","S01007462",20
"958","S01007463",46.25
"959","S01007464",16.25
"960","S01007465",48.75
"961","S01007466",65
"962","S01007467",22.5
"963","S01007468",11.25
"964","S01007469",12.5
"965","S01007470",13.75
"966","S01007471",13.75
"967","S01007472",8.75
"968","S01007473",15
"969","S01007474",5
"970","S01007475",6.25
"971","S01007476",5
"972","S01007477",5
"973","S01007478",11.25
"974","S01007479",7.5
"975","S01007480",6.25
"976","S01007481",2.5
"977","S01007482",5
"978","S01007483",12.5
"979","S01007484",12.5
"980","S01007485",17.5
"981","S01007486",22.5
"982","S01007487",21.25
"983","S01007488",20
"984","S01007489",7.5
"985","S01007490",10
"986","S01007491",20
"987","S01007492",11.25
"988","S01007493",5
"989","S01007494",2.5
"990","S01007495",1.25
"991","S01007496",5
"992","S01007497",5
"993","S01007498",3.75
"994","S01007499",8.75
"995","S01007500",1.25
"996","S01007501",7.5
"997","S01007502",6.25
"998","S01007503",8.75
"999","S01007504",5
"1000","S01007505",5
"1001","S01007506",0
"1002","S01007507",16.25
"1003","S01007508",5
"1004","S01007509",2.5
"1005","S01007510",5
"1006","S01007511",12.5
"1007","S01007512",2.5
"1008","S01007513",16.25
"1009","S01007514",10
"1010","S01007515",0
"1011","S01007516",6.25
"1012","S01007517",1.25
"1013","S01007518",10
"1014","S01007519",0
"1015","S01007520",7.5
"1016","S01007521",3.75
"1017","S01007522",6.25
"1018","S01007523",3.75
"1019","S01007524",5
"1020","S01007525",2.5
"1021","S01007526",6.25
"1022","S01007527",5
"1023","S01007528",6.25
"1024","S01007529",3.75
"1025","S01007530",1.25
"1026","S01007531",3.75
"1027","S01007532",5
"1028","S01007533",0
"1029","S01007534",11.25
"1030","S01007535",13.75
"1031","S01007536",5
"1032","S01007537",13.75
"1033","S01007538",3.75
"1034","S01007539",1.25
"1035","S01007540",13.75
"1036","S01007541",0
"1037","S01007542",15
"1038","S01007543",13.75
"1039","S01007544",5
"1040","S01007545",0
"1041","S01007546",0
"1042","S01007547",2.5
"1043","S01007548",6.25
"1044","S01007549",5
"1045","S01007550",10
"1046","S01007551",1.25
"1047","S01007552",21.25
"1048","S01007553",15
"1049","S01007554",11.25
"1050","S01007555",5
"1051","S01007556",8.75
"1052","S01007557",15
"1053","S01007558",5
"1054","S01007559",5
"1055","S01007560",6.25
"1056","S01007561",3.75
"1057","S01007562",5
"1058","S01007563",6.25
"1059","S01007564",1.25
"1060","S01007565",7.5
"1061","S01007566",1.25
"1062","S01007567",2.5
"1063","S01007568",1.25
"1064","S01007569",5
"1065","S01007570",11.25
"1066","S01007571",1.25
"1067","S01007572",11.25
"1068","S01007573",3.75
"1069","S01007574",13.75
"1070","S01007575",33.75
"1071","S01007576",31.25
"1072","S01007577",32.5
"1073","S01007578",31.25
"1074","S01007579",18.75
"1075","S01007580",12.5
"1076","S01007581",6.25
"1077","S01007582",15
"1078","S01007583",41.25
"1079","S01007584",8.75
"1080","S01007585",5
"1081","S01007586",21.25
"1082","S01007587",5
"1083","S01007588",1.25
"1084","S01007589",7.5
"1085","S01007590",3.75
"1086","S01007591",5
"1087","S01007592",16.25
"1088","S01007593",8.75
"1089","S01007594",5
"1090","S01007595",5
"1091","S01007596",5
"1092","S01007597",2.5
"1093","S01007598",2.5
"1094","S01007599",7.5
"1095","S01007600",12.5
"1096","S01007601",7.5
"1097","S01007602",2.5
"1098","S01007603",0
"1099","S01007604",1.25
"1100","S01007605",1.25
"1101","S01007606",3.75
"1102","S01007607",3.75
"1103","S01007608",2.5
"1104","S01007609",18.75
"1105","S01007610",7.5
"1106","S01007611",18.75
"1107","S01007612",53.75
"1108","S01007613",6.25
"1109","S01007614",3.75
"1110","S01007615",13.75
"1111","S01007616",22.5
"1112","S01007617",6.25
"1113","S01007618",8.75
"1114","S01007619",6.25
"1115","S01007620",1.25
"1116","S01007621",0
"1117","S01007622",0
"1118","S01007623",5
"1119","S01007624",0
"1120","S01007625",3.75
"1121","S01007626",0
"1122","S01007627",0
"1123","S01007628",3.75
"1124","S01007629",0
"1125","S01007630",5
"1126","S01007631",1.25
"1127","S01007632",6.25
"1128","S01007633",8.75
"1129","S01007634",5
"1130","S01007635",0
"1131","S01007636",7.5
"1132","S01007637",17.5
"1133","S01007638",10
"1134","S01007639",16.25
"1135","S01007640",7.5
"1136","S01007641",11.25
"1137","S01007642",5
"1138","S01007643",2.5
"1139","S01007644",5
"1140","S01007645",2.5
"1141","S01007646",5
"1142","S01007647",3.75
"1143","S01007648",3.75
"1144","S01007649",5
"1145","S01007650",7.5
"1146","S01007651",1.25
"1147","S01007652",1.25
"1148","S01007653",6.25
"1149","S01007654",15
"1150","S01007655",5
"1151","S01007656",1.25
"1152","S01007657",2.5
"1153","S01007658",1.25
"1154","S01007659",6.25
"1155","S01007660",8.75
"1156","S01007661",6.25
"1157","S01007662",12.5
"1158","S01007663",3.75
"1159","S01007664",6.25
"1160","S01007665",10
"1161","S01007666",0
"1162","S01007667",5
"1163","S01007668",12.5
"1164","S01007669",17.5
"1165","S01007670",18.75
"1166","S01007671",5
"1167","S01007672",0
"1168","S01007673",1.25
"1169","S01007674",10
"1170","S01007675",0
"1171","S01007676",2.5
"1172","S01007677",1.25
"1173","S01007678",7.5
"1174","S01007679",10
"1175","S01007680",1.25
"1176","S01007681",2.5
"1177","S01007682",6.25
"1178","S01007683",5
"1179","S01007684",1.25
"1180","S01007685",2.5
"1181","S01007686",6.25
"1182","S01007687",6.25
"1183","S01007688",12.5
"1184","S01007689",5
"1185","S01007690",8.75
"1186","S01007691",33.75
"1187","S01007692",10
"1188","S01007693",25
"1189","S01007694",18.75
"1190","S01007695",21.25
"1191","S01007696",25
"1192","S01007697",21.25
"1193","S01007698",32.5
"1194","S01007699",28.75
"1195","S01007700",8.75
"1196","S01007701",36.25
"1197","S01007702",6.25
"1198","S01007703",13.75
"1199","S01007704",66.25
"1200","S01007705",28.75
"1201","S01007706",16.25
"1202","S01007707",3.75
"1203","S01007708",30
"1204","S01007709",21.25
"1205","S01007710",30
"1206","S01007711",30
"1207","S01007712",18.75
"1208","S01007713",11.25
"1209","S01007714",17.5
"1210","S01007715",16.25
"1211","S01007716",38.75
"1212","S01007717",31.25
"1213","S01007718",38.75
