"","LSOA21CD","claimants_2022"
"560","E01000582",41.25
"561","E01000583",81.6666666666667
"562","E01000584",50
"563","E01000585",55.8333333333333
"564","E01000586",110
"565","E01000587",37.0833333333333
"566","E01000589",80.8333333333333
"567","E01000590",45.4166666666667
"568","E01000591",72.5
"569","E01000592",69.5833333333333
"570","E01000593",70.4166666666667
"571","E01000594",60.4166666666667
"572","E01000595",128.75
"573","E01000596",113.333333333333
"574","E01000599",102.916666666667
"575","E01000601",112.083333333333
"576","E01000602",83.75
"577","E01000603",103.333333333333
"578","E01000604",105.833333333333
"579","E01000605",108.333333333333
"580","E01000606",61.6666666666667
"581","E01000607",68.75
"582","E01000608",78.75
"583","E01000609",70.4166666666667
"584","E01000610",73.75
"585","E01000611",50.4166666666667
"586","E01000612",52.9166666666667
"587","E01000613",64.5833333333333
"588","E01000615",76.25
"589","E01000616",69.1666666666667
"590","E01000617",74.1666666666667
"591","E01000618",60.8333333333333
"592","E01000619",67.5
"593","E01000620",57.5
"594","E01000621",53.3333333333333
"595","E01000622",87.0833333333333
"596","E01000623",52.9166666666667
"597","E01000624",45.8333333333333
"598","E01000625",55.8333333333333
"599","E01000626",77.9166666666667
"600","E01000627",129.166666666667
"601","E01000628",150
"602","E01000629",63.3333333333333
"603","E01000630",79.5833333333333
"604","E01000631",52.5
"605","E01000632",55.4166666666667
"606","E01000633",72.9166666666667
"607","E01000634",89.1666666666667
"608","E01000636",82.9166666666667
"609","E01000637",67.9166666666667
"610","E01000638",110.833333333333
"611","E01000639",76.6666666666667
"612","E01000640",138.75
"613","E01000641",119.583333333333
"614","E01000642",119.583333333333
"615","E01000643",176.666666666667
"616","E01000644",85.4166666666667
"617","E01000645",5
"618","E01000646",22.5
"619","E01000647",26.25
"620","E01000648",17.5
"621","E01000649",20.8333333333333
"622","E01000650",11.25
"623","E01000651",29.1666666666667
"624","E01000652",20.8333333333333
"625","E01000653",12.0833333333333
"626","E01000654",18.75
"627","E01000655",17.0833333333333
