"","overall_imd_score","Data_Zone"
"530",31.2878456843546,"S01007035"
"531",14.5280697761085,"S01007036"
"532",17.6691744507408,"S01007037"
"533",21.1882720067376,"S01007038"
"534",17.8203184056968,"S01007039"
"535",19.8157459691242,"S01007040"
"536",20.6904210331234,"S01007041"
"537",17.5490492391278,"S01007042"
"538",15.1536787874645,"S01007043"
"539",15.5366865729794,"S01007044"
"540",17.4594375004834,"S01007045"
"541",19.5081276104881,"S01007046"
"542",14.2587495755022,"S01007047"
"543",15.7684002588891,"S01007048"
"544",22.5379613115146,"S01007049"
"545",18.1234285259325,"S01007050"
"546",8.40105244041274,"S01007051"
"547",12.532867385737,"S01007052"
"548",13.2295777256263,"S01007053"
"549",18.5843602712819,"S01007054"
"550",10.0469377219517,"S01007055"
"551",14.6074497780409,"S01007056"
"552",10.0839609730058,"S01007057"
"553",20.9373047009208,"S01007058"
"554",14.0710560211482,"S01007059"
"555",25.3507971577351,"S01007060"
"556",9.3845298020883,"S01007061"
"557",14.5306497225822,"S01007062"
"558",11.5069664625391,"S01007063"
"559",13.0697648596316,"S01007064"
"560",14.3290020045968,"S01007065"
"561",15.8417775357112,"S01007066"
"562",9.74444682822154,"S01007067"
"563",20.5749276514376,"S01007068"
"564",14.3404646218348,"S01007069"
"565",20.9300180830258,"S01007070"
"566",11.9825965483155,"S01007071"
"567",6.52095175975501,"S01007072"
"568",9.02883556820457,"S01007073"
"569",17.1552902715048,"S01007074"
"570",20.6078516950691,"S01007075"
"571",17.534127981065,"S01007076"
"572",11.217587265879,"S01007077"
"573",21.8694924110144,"S01007078"
"574",22.5746047573316,"S01007079"
"575",25.8060254478559,"S01007080"
"576",27.0233015295484,"S01007081"
"577",29.0705831599478,"S01007082"
"578",40.0812358857541,"S01007083"
"579",14.3855570876063,"S01007084"
"580",22.7436521432266,"S01007085"
"581",47.3872825768509,"S01007086"
"582",35.5365941406243,"S01007087"
"583",39.4265869820494,"S01007088"
"584",7.56189706699402,"S01007089"
"585",6.59554306560671,"S01007090"
"586",17.7492376247157,"S01007091"
"587",30.424646369207,"S01007092"
