"","geography_code","obs_value"
"495","E01000502",80
"496","E01000503",101.666666666667
"497","E01000504",68.3333333333333
"498","E01000505",61.6666666666667
"499","E01000506",115.833333333333
"500","E01000507",74.1666666666667
"501","E01000508",142.083333333333
"502","E01000509",112.083333333333
"503","E01000510",106.666666666667
"504","E01000511",95.4166666666667
"505","E01000512",56.6666666666667
"506","E01000513",52.9166666666667
"507","E01000514",50
"508","E01000515",79.5833333333333
"509","E01000516",82.5
"510","E01000517",34.5833333333333
"511","E01000518",61.25
"512","E01000519",70
"513","E01000520",59.5833333333333
"514","E01000521",195.416666666667
"515","E01000522",127.5
"516","E01000523",169.166666666667
"517","E01000524",239.166666666667
"518","E01000525",134.166666666667
"519","E01000526",157.083333333333
"520","E01000527",121.666666666667
"521","E01000528",117.916666666667
"522","E01000530",46.25
"523","E01000531",87.9166666666667
"524","E01000532",57.5
"525","E01000533",166.25
"526","E01000534",67.5
"527","E01000535",118.75
"528","E01000536",31.6666666666667
"529","E01000538",17.5
"530","E01000539",25
"531","E01000540",17.9166666666667
"532","E01000541",41.25
"533","E01000543",41.6666666666667
"534","E01000544",87.5
"535","E01000545",124.583333333333
"536","E01000546",99.5833333333333
"537","E01000547",61.6666666666667
"538","E01000548",115
"539","E01000549",61.6666666666667
"540","E01000550",103.75
"541","E01000551",165
"542","E01000552",56.25
"543","E01000553",142.083333333333
"544","E01000554",66.6666666666667
"545","E01000555",54.1666666666667
"546","E01000556",128.75
"547","E01000557",85.4166666666667
"548","E01000558",57.5
"549","E01000559",62.0833333333333
"550","E01000560",59.1666666666667
"551","E01000561",72.9166666666667
"552","E01000562",30.4166666666667
"553","E01000563",21.25
"554","E01000564",50.8333333333333
"555","E01000565",46.25
"556","E01000566",35.8333333333333
"557","E01000567",35.8333333333333
"558","E01000568",43.75
"559","E01000569",22.5
"560","E01000570",72.0833333333333
"561","E01000571",51.6666666666667
"562","E01000572",37.9166666666667
"563","E01000573",47.5
"564","E01000574",32.9166666666667
"565","E01000575",59.1666666666667
"566","E01000576",51.6666666666667
"567","E01000577",112.083333333333
"568","E01000578",78.75
"569","E01000579",52.5
"570","E01000580",58.3333333333333
"571","E01000581",47.5
"572","E01000582",41.25
"573","E01000583",81.6666666666667
"574","E01000584",50
"575","E01000585",55.8333333333333
"576","E01000586",110
"577","E01000587",37.0833333333333
"578","E01000588",106.25
"579","E01000589",80.8333333333333
"580","E01000590",45.4166666666667
"581","E01000591",72.5
"582","E01000592",69.5833333333333
"583","E01000593",70.4166666666667
"584","E01000594",60.4166666666667
"585","E01000595",128.75
"586","E01000596",113.333333333333
"587","E01000599",102.916666666667
"588","E01000600",195
"589","E01000601",112.083333333333
"590","E01000602",83.75
"591","E01000603",103.333333333333
"592","E01000604",105.833333333333
"593","E01000605",108.333333333333
"594","E01000606",61.6666666666667
"595","E01000607",68.75
"596","E01000608",78.75
"597","E01000609",70.4166666666667
"598","E01000610",73.75
"599","E01000611",50.4166666666667
"600","E01000612",52.9166666666667
"601","E01000613",64.5833333333333
"602","E01000615",76.25
"603","E01000616",69.1666666666667
"604","E01000617",74.1666666666667
"605","E01000618",60.8333333333333
"606","E01000619",67.5
"607","E01000620",57.5
"608","E01000621",53.3333333333333
"609","E01000622",87.0833333333333
"610","E01000623",52.9166666666667
"611","E01000624",45.8333333333333
"612","E01000625",55.8333333333333
"613","E01000626",77.9166666666667
"614","E01000627",129.166666666667
"615","E01000628",150
"616","E01000629",63.3333333333333
"617","E01000630",79.5833333333333
"618","E01000631",52.5
"619","E01000632",55.4166666666667
"620","E01000633",72.9166666666667
"621","E01000634",89.1666666666667
"622","E01000635",149.166666666667
"623","E01000636",82.9166666666667
"624","E01000637",67.9166666666667
"625","E01000638",110.833333333333
"626","E01000639",76.6666666666667
"627","E01000640",138.75
"628","E01000641",119.583333333333
"629","E01000642",119.583333333333
"630","E01000643",176.666666666667
"631","E01000644",85.4166666666667
"632","E01000645",5
"633","E01000646",22.5
"634","E01000647",26.25
"635","E01000648",17.5
"636","E01000649",20.8333333333333
"637","E01000650",11.25
"638","E01000651",29.1666666666667
"639","E01000652",20.8333333333333
"640","E01000653",12.0833333333333
"641","E01000654",18.75
"642","E01000655",17.0833333333333
